feature,importance
Diagnosis,0.31987200211015515
ADL,0.2662591413257851
FunctionalAssessment,0.18057714433105762
BehavioralProblems,0.07146216056609586
SleepQuality,0.043143713628828705
MemoryComplaints,0.03673504391881706
DiastolicBP,0.03452308016323816
SystolicBP,0.017824778722116547
DietQuality,0.016158560233267467
CholesterolTotal,0.013444375000638291
Age,0.0
Gender,0.0
BMI,0.0
Smoking,0.0
Ethnicity,0.0
EducationLevel,0.0
Hypertension,0.0
HeadInjury,0.0
Depression,0.0
Diabetes,0.0
