Model,Alpha (λ),L1 Ratio,Train RMSE,Train MAE,Train R²,Test RMSE,Test MAE,Test R²
Lasso,0.18093061166850496,1.0,8.288642633870733,7.24508703470544,0.07899991772092463,8.039336958133878,6.977791234819352,0.10701375970175564
ElasticNet,0.18093061166850496,1.0,8.288642633870733,7.24508703470544,0.07899991772092463,8.039336958133878,6.977791234819352,0.10701375970175564
Ridge,104.81131341546852,0.0,8.245942800182988,7.177181577676882,0.08846473713617553,8.056433306947524,6.952546816627075,0.10321169557069076
